district,stage_name,ndvi_mean,ndvi_std,vel_median,vel_std,bsi_median,bsi_std,lswi_vel_median,lswi_vel_std
Mannar,Vegetative,0.48510011855287083,0.1543298423406033,0.0667789,0.05674836115735295,-0.13145086,0.12049393063429319,0.0462019,0.05119081338423737
Matale,Harvest,0.5803596935816085,0.12097993303675102,-0.0016571730499999999,0.040685883098647145,-0.09466013000000001,0.10166456473461907,0.0,0.03758327519711372
Matale,Reproductive,0.7052280837166963,0.08750865430599142,-0.0008942484850000001,0.06629734596770402,-0.212793065,0.07964130184235481,-0.0033259987499999998,0.04898984563398155
Matale,Ripening,0.5006421735970911,0.12322538777848736,-0.07400198499999999,0.05178648554703723,-0.037292160000000005,0.0993507651027834,-0.0643006975,0.053317064644494344
Matale,Transplant,0.3909376580811472,0.10547072316205161,-0.021406174,0.045445216296567836,0.008530585,0.09095830210055511,0.002202861,0.044918171697608124
Matale,Vegetative,0.5591859093381989,0.12986899459195375,0.060416997,0.05210726354321865,-0.122835215,0.10069767699537474,0.040520794,0.04059660314611566
Matara,Harvest,0.6502711597482079,0.09680317302568392,-0.0006530881,0.03997483600889516,-0.17322195,0.07050040754446009,0.0,0.03109619190304681
Matara,Reproductive,0.7253700154931071,0.07479511736621594,0.0,0.06671189055841398,-0.2372216,0.05811456459106095,-0.0036302507,0.04319984627166689
Matara,Ripening,0.5675414058082192,0.11678928091946582,-0.060281754,0.05283897103348055,-0.12056763,0.08263663757293122,-0.036706954,0.0480896026182663
Matara,Transplant,0.43227971782106783,0.10654246711390297,-0.02645889,0.045470645337190245,-0.07204577,0.08239705853460101,0.0021304488,0.04149657745905274
Matara,Vegetative,0.5883173457047083,0.1214195767261669,0.0574759245,0.04708400233721578,-0.167704975,0.08010390398770464,0.029714096500000002,0.039985750920153364
Monaragala,Harvest,0.5774082633030974,0.12880760565835037,-0.0050523877,0.040437810045000515,-0.059887946,0.10509083956620162,-0.0044311285,0.03525770823579252
Monaragala,Reproductive,0.6975596867393512,0.09926717510073647,0.0,0.052556030542750674,-0.170993645,0.08891482272420922,0.0,0.041581845668026134
Monaragala,Ripening,0.5316594166134903,0.12964196689838897,-0.059933461,0.046047656217592665,-0.041065761000000006,0.09526549220105968,-0.04848468,0.04468723134334741
Monaragala,Transplant,0.38314499549467335,0.1257264430448593,-0.015465617000000001,0.04039602498496455,0.0758626325,0.0958123769116381,-0.008302927250000001,0.03798382368989303
Monaragala,Vegetative,0.5567398587032548,0.1408973002273501,0.060856073999999996,0.04372931178296605,-0.07079103,0.11390476923886148,0.045883492,0.03722877786167278
Mullaitivu,Harvest,0.4787069590350125,0.1316258943316582,-0.0048297048,0.046177994299496185,-0.0004729092,0.11696811898564005,-0.006731063,0.04679458913915043
Mullaitivu,Reproductive,0.6597673047077789,0.09978937183570495,0.0,0.06044212823680175,-0.19160743,0.0927949279469339,0.0,0.05306033067620775
Mullaitivu,Ripening,0.461284930171016,0.11779728373025429,-0.07254424749999999,0.0511081326085163,-0.0060239865,0.10686780676635182,-0.0674417975,0.053018885938981415
Mullaitivu,Transplant,0.3335472798641256,0.09474129861639037,-0.0194759365,0.042779091783043066,0.079069585,0.08595134574522796,-0.0047937385,0.047529661419942186
Mullaitivu,Vegetative,0.5163548467789539,0.13469353063829864,0.07251841,0.048805943548902414,-0.07259589,0.11687000055606975,0.06302578,0.04927742659840106
Nuwara Eliya,Harvest,0.6456569535581395,0.09599561863465238,0.0,0.03221901357205712,-0.1501014,0.07336613105350631,0.0,0.021600556579369292
Nuwara Eliya,Reproductive,0.7209361021782179,0.06677127298404743,-0.00031208992,0.05420443316384393,-0.21200363,0.05591690642443408,0.0,0.03791934481013242
Nuwara Eliya,Ripening,0.5645764945217392,0.09318215923940776,-0.04895389,0.03924230088121213,-0.0852999,0.0829502681639297,-0.03728261,0.03962240646350729
Nuwara Eliya,Transplant,0.44320030016393447,0.08330964171725515,-0.018268228,0.031212167846001417,-0.015446175,0.07988913372199608,-0.00744538,0.031135476208659852
Nuwara Eliya,Vegetative,0.6024394012834224,0.09836863661678798,0.06040609,0.039404220071197295,-0.12441445,0.08175144274674502,0.035841882,0.03259901704690325
Polonnaruwa,Harvest,0.5037958775726794,0.15993954184283088,-0.00346377495,0.050722952354862516,-0.0418954575,0.13523942589815077,0.0,0.055988381143721365
Polonnaruwa,Reproductive,0.7145621828850461,0.1002539672298123,-0.006670296,0.06821196346713539,-0.2502186,0.09014252686445832,-0.0024320781,0.05336189417611354
Polonnaruwa,Ripening,0.45780091820549756,0.13358689055084322,-0.098881618,0.052476139204263215,-0.0071280267,0.11519368976899279,-0.09208473,0.05970145492078761
Polonnaruwa,Transplant,0.33551887248131135,0.1097022963518654,-0.018229544,0.05012630235733991,0.021498926,0.0956964972535314,0.017947778,0.056913832789357154
Polonnaruwa,Vegetative,0.5549787823113156,0.15321497695703362,0.075303316,0.0550562480533518,-0.1438095,0.11270243404027233,0.049469188,0.046030554403784965
Puttalam,Harvest,0.5520096463948404,0.12521837299312466,-0.0039135366500000004,0.04686309282912673,-0.0775508225,0.10488970968621959,-0.00102961805,0.05197987925504964
Puttalam,Reproductive,0.6852648642635856,0.09031134952881935,0.0,0.061537683860567245,-0.20110096,0.082777212356717,-0.005041808,0.053911519464765884
Puttalam,Ripening,0.49979707198978,0.12250575152437737,-0.06666975,0.048856124527130805,-0.025329955,0.10564468288167166,-0.06451407,0.05498789394764558
Puttalam,Transplant,0.3880726223673254,0.10850476398681447,-0.02782154,0.04312827811743734,0.044252083,0.09677963702480687,-0.0065794494,0.05082724251332981
Puttalam,Vegetative,0.550553241189246,0.12787631123055435,0.06685357,0.046067060243398836,-0.114175886,0.1078981788776847,0.0599204,0.04699081908873406
Ratnapura,Harvest,0.6546722852800656,0.10829541058811762,-0.0023082495,0.04062490608025036,-0.16597918,0.08637443817448794,-0.0005914271,0.03379967174730828
Ratnapura,Reproductive,0.7516711102498357,0.07396470637626514,0.0,0.06103622656150805,-0.24478653,0.0656813278137244,-0.0002658069,0.04016623465425314
Ratnapura,Ripening,0.5721322239830137,0.12260703296594673,-0.074598074,0.045559983585272065,-0.100957595,0.0928101645342625,-0.056700394,0.04369898409482777
Ratnapura,Transplant,0.45221537955172414,0.11151082822923458,-0.027364105,0.04327877622179099,-0.030162243499999998,0.07975536758978091,-0.0044757817499999995,0.04084937365611232
Ratnapura,Vegetative,0.6152551726231884,0.12280910952808731,0.0585834685,0.046787952115136804,-0.166377945,0.08835415811167485,0.037882898,0.03612381126246998
Trincomalee,Harvest,0.4508131438167623,0.15774068883305029,-0.0048229396,0.04944836196064334,0.02848489,0.13308952705858199,-0.0033497475,0.05375152640187152
Trincomalee,Reproductive,0.6666288061069864,0.11826436391491649,-0.0055187045,0.07439571551014831,-0.202597685,0.10682046353181832,-0.0041630715499999995,0.06046083209231107
Trincomalee,Ripening,0.4047310270181649,0.14374444304776932,-0.08838558,0.057201279896033054,0.037948173,0.11575382249112978,-0.08358548,0.07277415069882413
Trincomalee,Transplant,0.28002269159416704,0.10985202493313688,-0.017219409499999998,0.048083671777191035,0.069184033,0.09542082453545463,0.0141194015,0.05577623107759518
Trincomalee,Vegetative,0.5101586679084753,0.16113467521112868,0.078638837,0.05758766897115554,-0.097830435,0.12359200010269254,0.054941305,0.04917997087662891
Vavuniya,Harvest,0.5298387819319832,0.1120842171717547,-0.0027182995999999997,0.04905635926058367,-0.050405422500000005,0.10247666647220845,-0.004396338099999999,0.049044222796455414
Vavuniya,Reproductive,0.6648139543973366,0.08890438923787115,0.0,0.06124495325010306,-0.17956051,0.08758073953771035,0.0,0.05328279049408492
Vavuniya,Ripening,0.48736632681973563,0.10956308124406768,-0.066577226,0.04722060887480861,-0.01673585,0.0992651550760509,-0.06385371,0.04715827578693828
Vavuniya,Transplant,0.374616590190201,0.09203002091124647,-0.0277146845,0.040567316614372136,0.056913848,0.08453822216430947,-0.0154490115,0.04307934581116949
Vavuniya,Vegetative,0.5308907540418155,0.12008426633883357,0.06629753,0.04701103251118771,-0.07826922,0.10703858423622566,0.057810016,0.04585835552512534
